Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
Kousei,7,6,157,Defender,Expert
Shikanoko,7,6,135,Defender,Expert
Miles,9,4,98,Defender,Expert
Gwen Stacy,9,4,82,Defender,Expert
Sakura,7,6,71,Defender,Expert
Ballasteven,8,5,188,Defender,Intermediate
Akame,8,5,162,Defender,Intermediate
Hatsune Miku,7,6,204,Defender,Beginner
Chooth,5,8,172,Attacker,Beginner
Koshi,6,7,128,Attacker,Beginner
Smiley,6,7,115,Attacker,Beginner
Remzz,7,6,143,Defender,Expert
Remzz,8,5,121,Defender,Expert
Remzz,9,4,117,Defender,Expert
Remzz,9,4,116,Defender,Expert
Remzz,10,3,103,Defender,Expert
Remzz,13,0,94,Defender,Expert
Remzz,11,2,83,Defender,Expert
Remzz,11,2,76,Defender,Expert
Remzz,9,4,73,Defender,Expert
Remzz,9,4,537,Defender,Beginner
Remzz,7,6,324,Defender,Beginner
u21562832,7,6,143,Defender,Expert
u21562832,7,6,127,Defender,Expert
u21562832,7,6,111,Defender,Expert
u21562832,9,4,111,Defender,Expert
u21562832,7,6,105,Defender,Expert
u21562832,7,6,94,Defender,Expert
u21562832,7,6,185,Defender,Intermediate
u21562832,5,8,183,Attacker,Beginner
u21562832,6,7,180,Attacker,Beginner
u21562832,6,7,157,Attacker,Beginner
u21562832,6,7,131,Attacker,Beginner
MissSA,8,5,152,Defender,Expert
Kanye,7,6,141,Defender,Expert
Olympics,7,6,172,Defender,Intermediate
Hi,4,9,755,Attacker,Beginner
Nothando,6,7,667,Attacker,Beginner
Wow,10,3,206,Defender,Beginner
Yoo,8,5,205,Defender,Beginner
Minister,6,7,203,Attacker,Beginner
Hellen,5,8,203,Attacker,Beginner
Doja,5,8,170,Attacker,Beginner
Runner,5,8,142,Attacker,Beginner
khomii,7,6,133,Defender,Expert
pabii,9,4,110,Defender,Expert
mcking,11,2,109,Defender,Expert
king,9,4,100,Defender,Expert
khomii,9,4,92,Defender,Expert
khomii,8,5,165,Defender,Intermediate
khomii,8,5,164,Defender,Intermediate
mcking,7,6,280,Defender,Beginner
king,6,7,230,Attacker,Beginner
pabii,6,7,221,Attacker,Beginner
mcking,7,6,202,Defender,Beginner
joe,7,6,87,Defender,Expert
sea,7,6,211,Defender,Beginner
jack,6,7,124,Attacker,Beginner
joe,6,7,112,Attacker,Beginner
james,4,9,112,Attacker,Beginner
sea,6,7,109,Attacker,Beginner
james,6,7,90,Attacker,Beginner
sarah,6,7,86,Attacker,Beginner
amy,4,9,82,Attacker,Beginner
sarah,5,8,82,Attacker,Beginner
joe,5,8,59,Attacker,Beginner
joe,6,7,58,Attacker,Beginner
Rengoku,7,6,148,Defender,Expert
KatLeo,8,5,138,Defender,Expert
Saitama,8,5,132,Defender,Expert
Descii,7,6,194,Defender,Intermediate
Madara,7,6,161,Defender,Intermediate
santara,7,6,401,Defender,Beginner
Lloyd,8,5,346,Defender,Beginner
Muzan,7,6,201,Defender,Beginner
Doflamingo,6,7,189,Attacker,Beginner
Ghost_12,5,8,183,Attacker,Beginner
Kir@,4,9,162,Attacker,Beginner
u21475653,10,3,160,Defender,Expert
u21475653,9,4,154,Defender,Expert
u21475653,7,6,140,Defender,Expert
u21475653,7,6,139,Defender,Expert
u21475653,7,6,173,Defender,Intermediate
u21475653,7,6,205,Defender,Beginner
u21475653,5,8,174,Attacker,Beginner
u21475653,6,7,164,Attacker,Beginner
u21475653,6,7,85,Attacker,Beginner
u21475653,5,8,85,Attacker,Beginner
u21475653,2,11,67,Attacker,Beginner
Hercules,7,6,141,Defender,Expert
Dragon Fly,9,4,131,Defender,Expert
Zeus,7,5,104,Defender,Expert
Achilies,11,2,103,Defender,Expert
Jonika,9,4,200,Defender,Intermediate
King Candy,7,6,196,Defender,Intermediate
Vegeta,6,7,405,Attacker,Beginner
David,4,9,347,Attacker,Beginner
Ice Queen,9,4,281,Defender,Beginner
Morgana,10,3,225,Defender,Beginner
Soraka,9,4,201,Defender,Beginner
Sharon,4,8,176,Attacker,Beginner
David,4,9,168,Attacker,Beginner
Josh,6,7,145,Attacker,Beginner
Zorg,6,7,112,Attacker,Beginner
Thendo,7,6,149,Defender,Expert
Thendo,8,5,129,Defender,Expert
Thendo,9,4,93,Defender,Expert
Thendo,8,5,83,Defender,Expert
Thendo,7,6,68,Defender,Expert
Thendo,5,8,733,Attacker,Beginner
Thendo,3,10,622,Attacker,Beginner
Thendo,6,7,103,Attacker,Beginner
Thendo,6,7,95,Attacker,Beginner
Thendo,3,10,92,Attacker,Beginner
Thendo,6,7,74,Attacker,Beginner
Rue,7,6,108,Defender,Expert
